,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal
26,1,5,True,30,3,0.9182325221186434,3600.0464000701904,67620.0,130.89134429378677
27,2,5,True,30,3,0.8931070205086229,3600.057392835617,68393.0,136.94693611893422
28,3,5,True,30,3,0.8552361871312467,3600.0045540332794,12195.0,106.64442878975056
29,4,5,True,30,3,0.8801857813457794,3600.017084121704,41823.0,108.81044179559409
30,0,5,True,40,1,0.7716557528965596,3600.022162914276,44949.0,121.56322671418636
31,1,5,True,40,1,0.8292637045996641,3600.023010969162,24409.0,116.37384360603997
32,2,5,True,40,1,0.7472941147292511,3600.374773979187,21634.0,129.8803852711116
33,3,5,True,40,1,0.748163152204019,3600.045256137848,14861.0,121.87240910574715
34,4,5,True,40,1,0.7283676115596077,3600.7849550247192,13464.0,142.82517654231663
35,0,5,True,40,2,0.8443495384107522,3600.0246319770813,3412.0,99.8611401497204
36,1,5,True,40,2,0.823252463407983,3600.010157108307,68427.0,84.53088872891067
37,2,5,True,40,2,0.8433797527844561,3600.0046751499176,3286.0,87.51458477999148
38,3,5,True,40,2,0.8359455592698148,3600.031872034073,12937.0,89.71398223670373
39,4,5,True,40,2,0.782510895165461,3600.0392968654633,30223.0,71.80458245467176
40,0,5,True,40,3,0.9127715811547314,3600.0585548877716,15447.0,139.9946353478387
41,1,5,True,40,3,0.7907565736310437,3600.0286209583282,56766.0,56.54499014723032
42,2,5,True,40,3,0.8688410110400918,3600.0161781311035,117411.0,82.58721503795374
43,3,5,True,40,3,0.7774229993838291,3600.0763750076294,46595.0,58.77395656635163
44,4,5,True,40,3,0.8756128082233174,3600.0154621601105,49171.0,103.38842954898246
45,0,5,True,50,1,0.7711211371462832,3600.0141310691833,88200.0,112.23040969769973
46,1,5,True,50,1,0.7542006520930467,3600.0217249393463,62606.0,144.545021666652
47,2,5,True,50,1,0.7722760781698198,3600.0341069698334,28121.0,91.12833150789197
48,3,5,True,50,1,0.6585974090677734,3600.01793885231,68424.0,78.713861874125
49,4,5,True,50,1,0.7615941179559652,3600.5989730358124,20234.0,122.69342205858737
50,0,5,True,50,2,0.7867208457723672,3600.0181839466095,36580.0,70.14760477500366
51,1,5,True,50,2,0.6956357962971504,3600.0625479221344,39898.0,74.87245508290792
52,2,5,True,50,2,0.5143906809756102,3600.0221960544586,254739.0,93.18657066357059
