,Instance,Size,Alpha_e,time_endurancerance,fleet_size,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
48,1,5,True,60,2,1.0,7200.423843383789,162129.0,71.66859043787107,65.74910283088684,97.13478513664691
49,2,5,True,60,2,1.0,7200.3602657318115,174167.0,90.08364055322475,62.84681463241577,106.54677498730042
50,3,5,True,60,2,0.9999999999999997,7200.384365081787,169842.0,81.7302790867922,63.56395149230957,106.86888581860353
51,4,5,True,60,2,0.9999999999993858,7200.4904136657715,142751.0,79.93621279190226,64.64406323432922,92.79765231962577
52,0,5,True,60,3,0.9999999999999981,7200.2104778289795,97529.0,67.54219939391974,64.18529152870178,86.20783592022296
53,1,5,True,60,3,0.9999999999999984,7200.439292907715,84174.0,58.07277835614834,63.075260400772095,69.9024734838154
54,2,5,True,60,3,0.9999999999999305,7200.244050979614,119890.0,54.505710123566445,63.300578594207764,65.45660786363703
55,3,5,True,60,3,1.0,7200.2652015686035,101507.0,52.092403954712125,58.75677156448364,61.60687106296125
56,4,5,True,60,3,0.9999999999999983,7200.27352142334,76889.0,66.89621150096596,63.5200674533844,74.96002250706188
57,0,5,False,20,1,0.8833220679192284,7200.243535995483,118218.0,112.53541350577684,48.37757635116577,166.92054716284653
58,1,5,False,20,1,0.9734547529556232,7200.080358505249,59949.0,112.54884111311405,34.44485521316528,149.2817145102975
59,2,5,False,20,1,0.9292463680994102,7200.145078659058,67251.0,115.60710401166413,28.79094672203064,135.31763676574155
60,3,5,False,20,1,0.9125618564917959,7200.1071128845215,84409.0,106.52566593399274,26.90399432182312,124.39914853211684
61,4,5,False,20,1,0.8969854481240699,7200.135438919067,83345.0,146.71736867764895,21.736822605133057,205.96914743831368
62,0,5,False,20,2,0.9999999999999885,7200.611644744873,152909.0,200.1991554254463,35.59474730491638,211.26829497053
63,1,5,False,20,2,1.0,7200.237106323242,88050.0,111.67195488995654,22.125807523727417,125.87410840679495
64,2,5,False,20,2,0.9999999999999608,7200.288366317749,119482.0,124.81860621304789,31.983440160751343,143.53760488510372
65,3,5,False,20,2,1.0,7200.3911209106445,45168.0,120.99322465269468,31.327192068099976,129.7942834396323
66,4,5,False,20,2,1.0,7200.105358123779,159703.0,57.720110476945926,32.98974633216858,64.84601845951353
67,0,5,False,20,3,1.0,7200.314588546753,211250.0,169.28396089249355,20.475242137908936,175.3308307979099
68,1,5,False,20,3,0.9999999999999988,7200.244752883911,149509.0,137.67815316699495,15.936365365982056,158.22807976067608
69,2,5,False,20,3,1.0,7200.277725219727,58614.0,106.41665869325679,28.780009269714355,112.02429792396941
70,3,5,False,20,3,1.0,7200.289499282837,72886.0,77.96452552589379,35.30377459526062,77.97195513841791
71,4,5,False,20,3,1.0,7200.224859237671,111417.0,89.74334444504085,47.380247592926025,97.70664512819675
72,0,5,False,30,1,0.9414710127561655,7200.695983886719,150849.0,102.82028434859228,33.025588035583496,139.98201474557484
73,1,5,False,30,1,0.7767438320375337,7200.723724365234,176720.0,93.2949647775437,37.877734422683716,116.94755661638865
74,2,5,False,30,1,0.956867685587813,7200.2483768463135,201212.0,102.90982853180172,41.630627155303955,123.47204868655167
75,3,5,False,30,1,0.9641981510250643,7200.22135925293,171480.0,121.85203577269037,34.73906397819519,160.6031308036183
76,4,5,False,30,1,0.915139190150487,7200.146835327148,147358.0,114.2184258364407,34.103764295578,167.88877075779348
77,0,5,False,30,2,1.0,7200.472917556763,95798.0,66.38617715771107,24.782700777053833,90.41970465225103
78,1,5,False,30,2,1.0,7200.684314727783,309962.0,64.9309820643878,23.361502170562744,74.92580395271831
79,2,5,False,30,2,1.0,7200.34042930603,96725.0,96.67997750216915,36.810518741607666,109.17935577407788
80,3,5,False,30,2,1.0,7200.329027175903,90657.0,102.62420299428024,30.71881651878357,117.97098958978219
81,4,5,False,30,2,1.0,7200.238576889038,184379.0,77.75348222557699,26.91399908065796,132.01706741544342
82,0,5,False,30,3,0.999999999999999,7200.206014633179,127760.0,62.054655715838216,33.70483326911926,104.18421786553247
83,1,5,False,30,3,1.0,7200.205568313599,139903.0,103.33904939196864,28.18759274482727,108.84668450699202
84,2,5,False,30,3,1.0,7200.329818725586,133210.0,51.770096778057685,24.37578797340393,69.17807929254732
85,3,5,False,30,3,1.0,7201.2199993133545,56238.0,138.4784902253706,30.997074604034424,138.58666032262363
86,4,5,False,30,3,1.0,7200.209470748901,152788.0,37.73791981734416,38.20179748535156,43.21466668393185
87,0,5,False,40,1,0.9449597536182287,7200.346384048462,130209.0,79.8017954136779,27.04763889312744,99.59112814749835
88,1,5,False,40,1,0.8446194778456115,7200.143136978149,127345.0,91.33473568759834,32.88303017616272,134.19447697081804
89,2,5,False,40,1,0.8384188668245144,7200.3205280303955,426242.0,92.42315161939688,33.982088565826416,103.30078746810467
