,Instance,Size,Alpha_e,time_endurance,fleet_size,GAP,Runtime,NodeCount,ObjVal
31,4,5,False,60,1,0.7124037965774648,7200.29758644104,87795.0,110.05605935660932
32,0,5,False,60,2,0.8775044420948416,7201.884918212891,185312.0,94.57430762781607
33,1,5,False,60,2,0.8521026753597941,7200.504053115845,167960.0,80.53422764272133
34,2,5,False,60,2,0.836409003104654,7200.410135269165,196025.0,79.57565050431016
35,3,5,False,60,2,0.8796369365063894,7201.278337478638,179118.0,80.19592449882448
36,4,5,False,60,2,0.8820566204389105,7200.239614486694,76092.0,68.29277093842082
37,0,5,False,60,3,0.8436746534984949,7200.680236816406,224930.0,65.24298962401393
38,1,5,False,60,3,0.8274358894452779,7201.147666931152,137560.0,62.30070045526965
39,2,5,False,60,3,0.8201227888094726,7200.295192718506,138818.0,58.4972284008558
40,3,5,False,60,3,0.8751900759222404,7200.735912322998,260686.0,50.028973823852354
41,4,5,False,60,3,0.8667535632319759,7200.677242279053,123905.0,71.24501772474744
42,0,10,True,20,1,0.8822442795746663,7200.650848388672,19108.0,412.731631700687
43,1,10,True,20,1,0.8725961101471337,7200.273859024048,3196.0,377.9283321361278
44,2,10,True,20,1,0.7924118872820587,7201.09354019165,14436.0,247.00403299692087
45,3,10,True,20,1,0.8014105946795699,7200.9302043914795,20112.0,243.88342706819094
46,4,10,True,20,1,0.897085323290342,7200.286245346069,16340.0,456.6896450009709
47,0,10,True,20,2,,,,
48,1,10,True,20,2,,,,
49,2,10,True,20,2,,,,
50,3,10,True,20,2,0.9416450073983613,7200.660381317139,47735.0,375.17579692186047
51,4,10,True,20,2,,,,
52,0,10,True,20,3,,,,
53,1,10,True,20,3,,,,
54,2,10,True,20,3,,,,
55,3,10,True,20,3,,,,
56,4,10,True,20,3,,,,
57,0,10,True,30,1,0.7779985601826598,7201.047510147095,15163.0,204.1093937252026
58,1,10,True,30,1,0.8456538512204057,7200.569366455078,20911.0,302.03432670424485
59,2,10,True,30,1,0.8211423407940294,7200.2271366119385,22150.0,254.15344546901747
60,3,10,True,30,1,0.7661897643136157,7200.891639709473,19969.0,213.0283081608713
61,4,10,True,30,1,0.8354808584423291,7200.285312652588,3377.0,288.176456101642
62,0,10,True,30,2,,,,
63,1,10,True,30,2,0.8406958465030243,7200.810604095459,23866.0,135.8279139899981
64,2,10,True,30,2,,,,
65,3,10,True,30,2,0.8908749365477172,7200.548530578613,15190.0,244.14729025109145
66,4,10,True,30,2,0.9109416717795216,7200.537170410156,27246.0,256.19722496759414
67,0,10,True,30,3,,,,
68,1,10,True,30,3,0.9124426431502723,7200.966026306152,13583.0,208.5976840444391
69,2,10,True,30,3,0.9249018081449508,7200.723129272461,11800.0,243.6962860996639
70,3,10,True,30,3,0.8855001876980511,7200.83253288269,17660.0,140.15120751579423
71,4,10,True,30,3,,,,
72,0,10,True,40,1,0.8122101686917672,7200.245199203491,6148.0,265.03982600639813
73,1,10,True,40,1,0.7838842620877384,7201.046363830566,19951.0,205.85990625741553
74,2,10,True,40,1,0.7685614545910595,7200.3009033203125,9944.0,204.8922277915575
75,3,10,True,40,1,0.7368293032348502,7200.257360458374,18312.0,193.7459921696151
76,4,10,True,40,1,0.8017696562847482,7200.220504760742,2367.0,265.999542395576
77,0,10,True,40,2,0.8231193590791478,7200.350845336914,13255.0,135.74709950458237
78,1,10,True,40,2,0.8269800754234986,7202.695718765259,15326.0,157.33258444249128
79,2,10,True,40,2,0.8683211678623595,7200.503057479858,23700.0,199.6136803188641
80,3,10,True,40,2,0.8410925745229382,7200.293207168579,8391.0,162.84343343270552
81,4,10,True,40,2,0.8568594862402273,7200.856119155884,24961.0,160.45198279405037
82,0,10,True,40,3,,,,
83,1,10,True,40,3,0.8851848548096816,7200.664957046509,23224.0,135.16523520849793
84,2,10,True,40,3,0.8815516533149385,7200.436498641968,18414.0,114.09142176417588
85,3,10,True,40,3,0.912996433522695,7200.499408721924,17926.0,158.04352020242294
86,4,10,True,40,3,0.8647048366210427,7201.276502609253,15320.0,132.26652303534502
87,0,10,True,50,1,0.7582421638619179,7200.278547286987,29903.0,203.62587626705522
88,1,10,True,50,1,0.8080682884551526,7200.3456382751465,25124.0,248.13516959225382
89,2,10,True,50,1,0.7829281564514244,7200.428379058838,21946.0,203.36200978940562
