,Instance,Size,Alpha_e,time_endurancerance,fleet_sizeP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
39,1,10,True,50,2,0.9098859504572833,7200.2267780303955,2112.0,223.1286678388919,138.16563153266907,223.16174889680428
40,2,10,True,50,2,0.8540359189027221,7200.284385681152,2170.0,156.96005795709183,130.7953381538391,157.1769208818948
41,3,10,True,50,2,0.8948743065199022,7200.257041931152,2111.0,179.06782490094133,128.61716032028198,179.2273702401229
42,4,10,True,50,2,0.8614371682095443,7200.285011291504,2153.0,183.62488075355344,139.7733371257782,183.63491732351468
43,0,10,True,50,3,0.9756759316427868,7201.081611633301,20729.0,182.08101556591924,125.38081455230713,182.08101556591924
44,1,10,True,50,3,0.9712594578830778,7200.952054977417,20394.0,153.14585503667587,131.60217952728271,153.24703807466489
45,2,10,True,50,3,0.8759366981995896,7200.445562362671,2140.0,153.61657769132648,135.8857283592224,164.31975989913633
46,3,10,True,50,3,0.9637705210243306,7200.712156295776,23703.0,146.71445676167318,138.30365800857544,146.79665026721477
47,4,10,True,50,3,0.8471102276163214,7200.887294769287,2133.0,125.93583177728189,132.92763447761536,125.94396347402366
48,0,10,True,60,1,0.8251435377945713,7200.248447418213,3662.0,297.55402777100636,161.65827178955078,298.25648730196895
49,1,10,True,60,1,0.8446762877621422,7200.249179840088,3149.0,266.3767343968637,152.012615442276,266.3767343968637
50,2,10,True,60,1,0.8312990858641814,7200.163785934448,2150.0,292.7417693859749,154.11499953269958,292.7417693859749
51,3,10,True,60,1,0.8219787649581988,7200.195554733276,2957.0,253.4149746302119,156.84868788719177,253.5458667956378
52,4,10,True,60,1,0.8664256900099286,7200.1414794921875,2861.0,330.9863872783005,151.7054934501648,330.9916826692064
53,0,10,True,60,2,0.8623541238273583,7200.294702529907,2180.0,191.18248015778923,134.96718621253967,191.1873580457339
54,1,10,True,60,2,0.8278282999680715,7200.382848739624,2108.0,140.98809395877782,130.4263243675232,140.98809395877782
55,2,10,True,60,2,0.8513313204256608,7200.358018875122,2228.0,170.03785686438283,131.85450839996338,170.05944640458165
56,3,10,True,60,2,0.8780415685577257,7200.147201538086,2173.0,191.74606205622274,133.34751415252686,191.74606205622274
57,4,10,True,60,2,0.8758660706669271,7200.3027992248535,3100.0,212.74468780633674,129.09089708328247,212.76519791125025
58,0,10,True,60,3,0.9002158330626219,7200.737411499023,2172.0,150.56815107716886,128.3538637161255,150.56815107716886
59,1,10,True,60,3,0.9076075307491756,7200.833572387695,2255.0,151.6510160794917,130.19294619560242,151.65940159630657
60,2,10,True,60,3,0.9728105013372851,7201.39161491394,28902.0,136.3332091930844,130.69161438941956,136.41462984389125
61,3,10,True,60,3,0.8697971336652944,7200.913974761963,2180.0,139.0879743378932,129.24149107933044,139.08801704193118
62,4,10,True,60,3,0.9617061910167698,7201.014163970947,25566.0,147.52152562612423,132.05503296852112,147.57694721047864
63,0,10,False,20,1,0.7300992526673963,7200.176908493042,1718.0,280.3550271987123,123.23554635047913,280.3550271987123
64,1,10,False,20,1,0.8564630273993012,7200.185342788696,2366.0,260.58765894250917,98.97036242485046,262.1391088146801
65,2,10,False,20,1,0.7805077942372375,7200.258441925049,3908.0,230.49633097370418,140.40065956115723,230.55167442706193
