,Instance,Size,Alpha_e,time_endurance,fleet_size,GAP,Runtime,NodeCount,ObjVal
37,0,5,True,50,3,0.999999999999992,7200.2318477630615,194329.0,52.08979281925184
38,1,5,True,50,3,1.0,7200.184139251709,131488.0,61.85891454213053
39,2,5,True,50,3,1.0,7200.349683761597,170365.0,53.31969093196879
40,3,5,True,50,3,1.0,7200.233041763306,180502.0,72.50493665272785
41,4,5,True,50,3,1.0,7200.193225860596,185339.0,48.39834750541408
42,0,5,True,60,1,0.9134139494490344,7200.159120559692,181710.0,121.44141473788714
43,1,5,True,60,1,0.8999403693603991,7200.599193572998,278852.0,112.79984495850145
44,2,5,True,60,1,0.8931140827104211,7200.121435165405,146460.0,110.54269364717544
45,3,5,True,60,1,0.8881701314153576,7200.097023010254,132707.0,111.94860384787816
46,4,5,True,60,1,0.9356712916689266,7200.351991653442,105061.0,139.35485512751612
47,0,5,True,60,2,1.0,7200.209432601929,212894.0,61.51059134955188
48,1,5,True,60,2,1.0,7200.4812088012695,259478.0,70.13860004945096
49,2,5,True,60,2,1.0,7200.304918289185,254655.0,85.95609713516896
50,3,5,True,60,2,1.0,7200.5055103302,330748.0,78.47349109647767
51,4,5,True,60,2,1.0,7200.139780044556,240272.0,79.70494931321598
52,0,5,True,60,3,1.0,7200.261856079102,130538.0,64.27001254814083
53,1,5,True,60,3,1.0,7200.432445526123,167320.0,56.793863786923424
54,2,5,True,60,3,0.9999999999999999,7200.630563735962,175417.0,56.575465314572426
55,3,5,True,60,3,0.9999999999999994,7200.171955108643,110481.0,56.29009126657644
56,4,5,True,60,3,1.0,7200.251787185669,153258.0,65.60403547397016
57,0,5,False,20,1,0.9607299094071491,7200.081085205078,84959.0,111.49449714186625
58,1,5,False,20,1,0.9640131474493424,7200.625722885132,122784.0,109.4810213225227
59,2,5,False,20,1,0.8870330213194959,7200.11759185791,134116.0,117.84358843213144
60,3,5,False,20,1,0.9559978154220288,7200.143743515015,134252.0,109.2478475138161
61,4,5,False,20,1,0.972694683919233,7200.115516662598,150359.0,147.12933881287807
62,0,5,False,20,2,1.0,7200.162225723267,166578.0,202.46532874336165
63,1,5,False,20,2,1.0,7200.197534561157,165190.0,116.24627577980745
64,2,5,False,20,2,1.0,7200.309284210205,230049.0,115.36528069516338
65,3,5,False,20,2,1.0,7200.129539489746,161487.0,123.96380564572544
66,4,5,False,20,2,1.0,7200.636154174805,240255.0,56.452409329578046
67,0,5,False,20,3,1.0,7200.5227394104,140160.0,173.80187668797547
68,1,5,False,20,3,1.0,7200.739898681641,102475.0,154.57446146879403
69,2,5,False,20,3,1.0,7200.148384094238,95490.0,102.0504795363587
70,3,5,False,20,3,1.0,7200.197309494019,90458.0,77.96452552589379
71,4,5,False,20,3,1.0,7200.423564910889,107728.0,90.6598512720891
72,0,5,False,30,1,0.896105017706854,7200.254976272583,349643.0,103.27917062816685
73,1,5,False,30,1,0.8114732905543663,7200.154191970825,239350.0,93.57371556900367
74,2,5,False,30,1,0.9571029525006359,7200.356203079224,128834.0,94.80763027857593
75,3,5,False,30,1,0.9793995450227967,7200.146984100342,126073.0,114.70270622239656
76,4,5,False,30,1,0.8474614055109208,7200.179563522339,160473.0,114.29806189002132
77,0,5,False,30,2,1.0,7200.108364105225,175460.0,62.191674541853416
78,1,5,False,30,2,1.0,7200.228631973267,259507.0,66.81686968661779
79,2,5,False,30,2,0.9999999999999791,7200.305400848389,226774.0,94.4409103613746
80,3,5,False,30,2,1.0,7200.119497299194,114015.0,107.58455091241606
81,4,5,False,30,2,1.0,7200.325077056885,233400.0,76.79326657690552
82,0,5,False,30,3,1.0,7200.177282333374,87175.0,74.54105377828047
83,1,5,False,30,3,1.0,7200.129066467285,80946.0,108.10847425374808
84,2,5,False,30,3,1.0,7200.724700927734,139786.0,52.20423810717734
85,3,5,False,30,3,1.0,7200.90602684021,96342.0,125.63824826995203
86,4,5,False,30,3,1.0,7200.517938613892,168165.0,37.77888270777112
87,0,5,False,40,1,0.9298615015134144,7200.194818496704,225901.0,82.25188408392714
88,1,5,False,40,1,0.9447853241788702,7200.159742355347,199853.0,93.34696690789711
89,2,5,False,40,1,0.8124039876419576,7200.189723968506,234926.0,88.46707038153401
90,3,5,False,40,1,0.7371218822990475,7200.224315643311,224253.0,69.37979010702034
91,4,5,False,40,1,0.9671737084492066,7200.133762359619,184965.0,95.90845097213521
92,0,5,False,40,2,1.0,7200.202451705933,223753.0,55.63495002638951
93,1,5,False,40,2,1.0,7200.296325683594,338142.0,59.12260030288717
94,2,5,False,40,2,1.0,7200.383848190308,206040.0,47.071453152823175
95,3,5,False,40,2,0.9999999999999998,7200.315160751343,262371.0,68.94285205118541
96,4,5,False,40,2,1.0,7200.813299179077,206388.0,61.27299985757794
97,0,5,False,40,3,0.9999999999997179,7200.282609939575,294732.0,44.73571917387501
98,1,5,False,40,3,0.9999999999995487,7200.218862533569,160703.0,55.92059635968184
99,2,5,False,40,3,0.9999999999994681,7200.164476394653,233568.0,31.629618620302967
100,3,5,False,40,3,1.0,7200.155002593994,99246.0,72.55710795264659
101,4,5,False,40,3,0.9999999999995743,7200.228378295898,218249.0,49.40754427265817
102,0,5,False,50,1,0.9509989104171714,7200.875154495239,244948.0,85.7101562857507
103,1,5,False,50,1,0.977364685820767,7200.579385757446,111546.0,110.44064364287982
104,2,5,False,50,1,0.9650500415039841,7200.312282562256,205667.0,104.6517740595323
105,3,5,False,50,1,0.944352903420455,7200.255140304565,136177.0,69.13539879888414
106,4,5,False,50,1,0.972697513584022,7200.192232131958,108729.0,126.66134940147968
107,0,5,False,50,2,1.0,7200.196838378906,180310.0,60.92689352662365
108,1,5,False,50,2,1.0,7200.260097503662,183441.0,73.07893628823643
109,2,5,False,50,2,1.0,7200.428272247314,183766.0,69.45267733105374
110,3,5,False,50,2,1.0,7200.59049987793,147650.0,53.438465449779585
111,4,5,False,50,2,1.0,7200.378545761108,168161.0,63.18940341995915
112,0,5,False,50,3,1.0,7200.353422164917,158091.0,48.461789360480395
113,1,5,False,50,3,1.0,7200.253179550171,137190.0,51.50161585597568
114,2,5,False,50,3,0.9999999999999999,7200.223560333252,116790.0,47.95377186779005
115,3,5,False,50,3,1.0,7200.541522979736,92331.0,49.52954006851157
116,4,5,False,50,3,1.0,7200.207292556763,94410.0,42.0168280919361
117,0,5,False,60,1,0.8260467382064307,7200.278625488281,127172.0,64.99519101335466
118,1,5,False,60,1,0.9546053994724764,7201.212842941284,210484.0,105.65914278036166
119,2,5,False,60,1,0.9012125184893304,7200.286159515381,116712.0,78.92010473402163
