,Unnamed: 0,Instance,Size,Alpha_e,time_endurance,fleet_sizeP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
26,2,1,5,True,30,3,0.8691533609262434,3600.004625082016,2027.0,126.95905989323224,64.52274942398071,126.95905989323224
27,27,2,5,True,30,3,0.8202718744633123,3600.0034260749817,1952.0,141.26858573978598,27.065497636795044,141.26858573978598
28,28,3,5,True,30,3,0.7796470208371438,3600.0075929164886,1557.0,116.4686035277014,35.59870624542236,116.4686035277014
29,29,4,5,True,30,3,0.843358268587548,3600.0041558742523,1650.0,120.07258766290008,24.53399896621704,120.07258766290008
30,30,0,5,True,40,1,0.820147378491256,3600.0100939273834,2027.0,142.494892862844,18.82542061805725,143.21774838333818
31,31,1,5,True,40,1,0.7771291366284445,3600.0117020606995,2362.0,111.00035697391046,145.52628207206726,121.5008605220723
32,32,2,5,True,40,1,0.79230419476173,3600.049406051636,2482.0,127.58435260902372,20.93955683708191,127.58435260902372
33,33,3,5,True,40,1,0.7819488981567664,3600.00425195694,2268.0,130.57551685618466,40.01417279243469,151.96663525252572
34,34,4,5,True,40,1,0.782965195004447,3600.00870013237,1862.0,133.8549811009221,61.10219120979309,133.8549811009221
35,35,0,5,True,40,2,0.8068707941828392,3600.003211021424,2114.0,134.13496042383142,43.26743149757385,141.25760235120518
36,36,1,5,True,40,2,0.7827469796970629,3600.038208961487,2240.0,115.03605917494052,29.79994511604309,126.66024502397562
37,37,2,5,True,40,2,0.8047753883347075,3600.005414962769,2445.0,111.61429825086849,28.095053434371952,111.61429825086849
38,38,3,5,True,40,2,0.8244370441046501,3600.005228996277,2475.0,123.93773855505243,43.79145002365112,126.10001141788774
39,39,4,5,True,40,2,0.7502190825871721,3600.002506017685,2253.0,107.3435678591066,33.99519205093384,116.53386111901716
40,40,0,5,True,40,3,0.8359731122054092,3600.028985977173,1899.0,136.8521398999383,30.05267071723938,140.53403751580342
41,41,1,5,True,40,3,0.7928762358825763,3600.034918785095,1958.0,96.57868884720456,62.22417736053467,98.388733338818
42,42,2,5,True,40,3,0.7541428429462991,3600.0020649433136,2837.0,104.84793089940614,50.406370878219604,128.5539801936393
43,43,3,5,True,40,3,0.8209427986078803,3600.0029249191284,2117.0,108.20786878912438,26.809390783309933,108.20786878912438
44,44,4,5,True,40,3,0.8298135402457286,3600.00305891037,2519.0,147.98107442146394,32.33633494377136,150.87002913555028
45,45,0,5,True,50,1,0.7811387465961723,3600.0332868099213,1778.0,116.25837911990888,28.273742675781246,116.25837911990888
46,46,1,5,True,50,1,0.8123674521262956,3600.0075209140778,1636.0,154.67912528060145,43.779213190078735,154.67912528060145
47,47,2,5,True,50,1,0.7755886785751606,3600.040431022644,2017.0,100.37931803326676,31.625959634780884,111.68109630916528
48,48,3,5,True,50,1,0.6949220420385851,3600.0080959796906,2715.0,75.73793469836676,40.71809196472168,75.73793469836676
49,49,4,5,True,50,1,0.7849551768628146,3600.011106967926,1803.0,116.11196078068444,150.34899926185608,116.11196078068444
50,50,0,5,True,50,2,0.7607678570237404,3600.003734111786,2232.0,98.30574515649243,48.41893482208252,113.20603857901864
51,51,1,5,True,50,2,0.7531107009035735,3600.0058200359344,2648.0,105.3899016962904,47.08557415008545,118.83924732738645
52,52,2,5,True,50,2,0.8332458927221105,3600.004372119904,2607.0,129.1101884209563,23.35507082939148,129.1101884209563
53,53,3,5,True,50,2,0.7971740913349323,3600.013397216797,2696.0,125.26087460806208,29.74852442741394,133.23149929225812
